"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.889666412999426,1,1,1,1,1,1,1,1,1
1,1,1,0.984628616036044,0.980114981400068,0.948298926017472,0.986780429131349,0.981267927713179,0.976148380081532,0.958330755392954,0.985169286346509,1,1,1
1,1,1,1,1,1,1,1,1,0.998819329349554,0.983887545145025,1,1,1
1,1,1,1,1,1,1,1,1,0.970997679814385,1,1,1,1
1,1,1,1,1,1,1,1,0.981423398420921,0.951298012271514,1,1,1,1
1,1,1,1,1,1,1,1,0.987275640517891,1,1,1,1,1
1,1,1,1,1,1,1,0.982231841747622,0.947332068068629,1,1,1,1,1
1,1,1,1,1,1,0.966662363852979,0.968004653868528,1,1,1,1,1,1
1,1,1,1,1,1,0.994255422097933,1,1,1,1,1,1,1
1,1,1,1,1,0.97558630962691,0.999505195447798,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
