"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0.465811147289791,0.811748998664887,0.773454892399025,0,0.167639856846864,0.217444417297825,0.309350017379214,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,1,0.854032541261852,0,1,0,0,0,0,1,1,1,1,0.845204178537512,0.953351626813015,0.955550783766373,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0,1,0.435597320691922,0,0,0,0,0.3359758399396,0,0.927603623827467,0.829346714083889,0,1,0.655858511422255,0.708786833023626,1,1
1,1,1,1,1,1,1,0.845204178537512,0,1,0.224867353527414,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.309350017379214,1,1
1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
1,1,1,1,1,1,0.00487207790516675,0,0.613820804984015,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
1,0,0,1,0.672008842221608,1,0,0,0.942451170262881,0.950355578258997,0.990885068041861,0,0.472191638430921,0.957993675526037,0.754272409778813,0.625254220637386,0.621209541095407,0,0.641916246690367,0.974351438352032,0.410252565484279,0,1,0,0.345899727944034,0,1,1
1,1,0,1,1,1,1,0.375912408759124,0,0.503114866592215,0,0,0.639791546613885,0.0562071714988963,0.74532638676065,0,0,0,0.64105539607891,0.422428250482549,0.711282532402099,0,0,1,1,1,1,1
1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0.756481087972801,0.735752267976853,0,1,0,1,0,1,1
1,1,1,0.53582179409994,0,1,0,0.0108646556880745,0,0.0095842172709748,1,1,1,0,1,1,0,1,0.879372023664512,0.552256801682953,0.912509534518041,1,1,0,1,1,1,1
1,1,1,0.413008406215505,0,0,0,0,0.00954256448378998,1,0,0,0,1,0,1,1,1,0.786024574223907,0.495515001546551,0.36818113004424,1,1,1,0,0,1,1
1,0,1,0,1,0,0,0,0,0,0,0,0.00335174912346126,0,0,0,1,0.435035373456045,0.573607038123167,0.588892983102595,0,1,0,1,0,0,1,1
1,0,1,0,0,0,1,0,0.110627719080174,0.147385155499619,0.0330525994363314,0.00732890305261158,0,0,0,1,1,0.933571784774646,0.915023269490099,1,1,1,1,0,1,0,1,1
1,0,0.845204178537512,1,0.189321420974261,1,0,0,1,1,1,0,1,1,1,1,0.511862306046327,0.905218633943947,0.653029341405068,1,1,0,0.170239355258292,0,1,0,1,1
1,1,0,1,0.267026702670267,0,0,0.186904111890462,0.039851341064792,0.845204178537512,1,0,1,0,1,1,0.785932865005533,0.502964290638356,1,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,0.119671910716687,0.0918795036442096,0,1,0,1,0,1,0,0.335687395650752,0.759603446232894,0.554922469981713,1,1,0,0.53582179409994,1,0,0,0,1,1
1,1,0.372291474943529,0,1,0,1,0,0.280598840153245,0,0,0,1,1,0,0.654666148371857,0.734881263004921,1,1,0,0,0.708786833023626,0,1,0,0,1,1
1,1,1,0,1,0.618094576677821,0,0,0,0,0.100885423882514,1,1,0,0.787033184470149,0.605400550324241,0,1,0,0,0.477553210516902,1,0.733718054410552,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0,1,0.304500669369829,0.345899727944034,0.740047812077747,1,1,1,0,0,0,0.101328822601369,1,1,0,0,1
1,1,1,1,1,0,0.57402521254764,0,1,0,1,1,1,0.97048732701531,0.531173985100783,0.401544684871444,1,0,0,0,0,0,0.896996573271518,1,0.53582179409994,0,0,1
1,1,1,0,0.845204178537512,1,0.0874864838297453,0,0,1,1,1,0,0.919301679521335,0.581629780758657,1,1,1,1,0.130774360539374,0,1,0,1,0.392243278977523,0.150414061179652,1,1
1,1,1,0,1,0,0.259914724607208,0,0,1,0,0,0.737424601756495,0.834105232756042,0,1,0,1,0,0,0.112999929463215,0.570634751015174,0.490899062327634,1,1,0.217444417297826,1,1
1,1,1,0,0,0,1,0,1,1,1,0,0,0.755956104379523,0,0,1,1,0,1,0.845204178537512,0,0.0267451993869641,0.706771287416449,0,1,1,1
1,1,1,1,0,1,1,0.243068709418802,0.418973749691766,0,0.61440323370123,0.580846277285954,0.831263152591375,0.63973005945767,0,0,0,1,0.955550783766373,1,0,0,1,1,0,1,1,1
1,1,1,1,0,1,0,1,1,1,0,0.244548780582134,0,1,0,0,0,0,0,0.0249236887059283,0.794248884481904,0,0,1,0.845204178537512,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
