"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.676683361157485,0,0.687508432434516,0.611119042859998,0.605859872611465,0.674139171773121,1,0.988773388773389,0.656724661695664,0.491627041554683,0.656724661695664,0.656724661695664,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.988773388773389,0.760554571041384,1,1,0.963588097785174,0.621916136343823,0,0,0,0.779988037585136,1,1,0,1,0,0.2615198504344,0.621916136343823,0.822438956906689,1,1,1
1,1,1,1,0,0,1,1,1,1,0,0,1,0.11042749789997,0,1,0,1,0,0,0.328701951667838,0.549443101461717,1,1,0.87781469176818,0.508467489023625,1,1
1,1,1,0,0,1,1,0.630267691492181,0,1,0.299324484972238,1,0,0,0,1,0.322644837411243,0,0.165571982268434,0,1,0.448441178973646,0.574098982583204,0.779887121600821,1,0,1,1
1,1,1,0,1,1,1,1,1,1,1,0.327142660613564,1,0.957538285684596,1,0,0,0.920236113213259,1,1,0.334605967937112,1,1,0.779887121600821,0,0.517654229613827,1,1
1,1,1,1,1,1,0.939852454829879,0.991265948074267,0.995746556473829,0.95812310084093,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,0.5776882034856,1,0.972528935705682,0.959259335021622,0.917584956602255,0.999873272073109,0.94090682708018,0.999717266484587,0.98648787671253,0.987999438636683,0.987313219802796,0.988386263381701,0.989306171655031,0.999461834264523,0.974786676091104,0.974333589806383,0.996316516506143,1,1,0.978960927436668,0.392863043119114,0.914359373741171,1,1
1,0,1,1,1,1,1,1,1,0.967914197125784,0.991015513599614,0.956730878183677,0.98131732584072,0.985442207890418,0.989453117933318,0.992617212288252,0.988291004605908,0.991454096704933,0.971826844917936,0.995062348313666,0.998382341271052,0.954733536703446,1,1,1,0,1,1
