"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.883087281882512,1,1,1,1,1,1,1,1,1
1,1,1,0.964885603941528,0.997123745375076,0.953665040940379,0.997655505403802,0.988204570927897,0.977814618923601,0.976329806236301,0.995831673016911,1,1,1
1,1,1,1,1,1,1,1,1,0.998799920241765,0.992696952527961,1,1,1
1,1,1,1,1,1,1,1,1,0.97146185206756,1,1,1,1
1,1,1,1,1,1,1,1,0.990609945292725,0.933379996143176,1,1,1,1
1,1,1,1,1,1,1,1,0.992423501338709,1,1,1,1,1
1,1,1,1,1,1,1,0.979248946886246,0.927638577210091,1,1,1,1,1
1,1,1,1,1,1,0.951149392230295,0.970262390670554,1,1,1,1,1,1
1,1,1,1,1,1,0.999505195447798,1,1,1,1,1,1,1
1,1,1,1,1,0.970489221209682,0.999361017345658,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
