"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.519780888618381,0.0678477794549932,0.690008079719903,0.348050536611873,0.298705841203218,0.551159211636797,0,0.0526024022174315,0.0751033330401899,0.131243276471492,0.519780888618381,0.519780888618381,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.519780888618381,0.275288504931984,0,1,0,0,1,1,1,0,0,1,0,1,0,0.246322468993366,0.592918305947697,0.738371087670759,1,1,1
1,1,1,1,1,0,1,0,0,1,0,0.252652043447022,1,0.365291781240452,0,0,0,0,0.251843114125627,0,0.387436747513523,0.566354726991379,0,1,0.475766016713092,0.519780888618381,1,1
1,1,1,1,0,0,1,0.967157417893545,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0.095536413469068,1,1
1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0.998357963875205,1,1
1,1,1,1,1,1,0.0050769368869108,0,0.743436846588709,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1
1,1,1,1,0.60233536219012,1,0.00579494657783619,0.698939119094929,0.899454965579935,0.927036129592059,0.782888364075866,0.687735611701519,0.551787372493433,0.717051597051597,0.89912417710828,0.924311459683502,0.787894977677191,0.868431308218942,0.680458694907752,0.9485383190297,0.385870201165782,1,1,0,0,0,0,1
1,1,1,1,1,1,0,0.559865092748735,0,0.480362150696827,0,0,0,0,0.793563048952767,0.328501545412891,0.268053963495283,0.186424702181541,0.828660777966753,0.511888111888112,0.740062544742097,0.117803773402117,1,1,1,0,0,1
1,1,1,0,0,0.261615439599714,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0.605949625553459,0,1,0,1,0.690008079719903,1,1
1,1,1,0,0,1,0,0.00874041777968826,0,0.00588433897651108,1,1,0,0.197767588346996,0,1,0,1,0.81670386978251,0.704067885222497,0.892231495918554,1,1,0,0,0,0,1
1,1,1,0,0,0,0,0,0.0350838753851419,1,0,0.0722921235907499,0,1,0,1,1,1,0,0.409914332048742,0.566101224962046,1,1,0,0,1,0,1
1,1,1,0,1,0,0.359942678917643,1,0,1,0,0,0.0050038964767648,1,1,0,1,0.591617300913833,0.595488554549305,0.987716821013162,0,1,0,0,0,1,0,1
1,1,1,0,0,0,0,0,0.643726839597671,0,0,0,1,0,0,1,1,0.703222235721324,0.807347421298273,1,1,1,0,0.536319866024702,1,1,0,1
1,1,0,1,0.0751033330401899,0,0,0,1,1,1,0,1,1,0,1,0.359391162996897,0.772982114681456,0.756680599257972,1,1,0,0.519780888618381,0,0,1,0,1
1,1,0.934968250492665,1,0.110578790625405,0.678316123907863,0,0.725753506415995,0.0601055718475073,0.0601836131950361,0,0.0609234617014759,0,0,0,1,0.940076471354693,0.930399528495651,1,1,1,1,0,1,0.578359096313912,1,0,1
1,1,0.690008079719903,1,0,0,0.0592602872805496,0.0424322524868083,1,1,0.146933759370775,0,0.0553670607049467,1,1,0.129279469840771,0.757931767247922,0.743398793487349,1,0,0,0,1,0,0.921444809295277,1,0,1
1,1,0.326477559446441,0,0,1,1,0,0.245020387935906,1,0,0,1,1,1,0.886512672062385,0.774184658452211,0,1,0,1,0,0,1,1,1,0,1
1,1,1,0,1,0,0,0,0,1,0.566354726991379,1,1,0,0.998454872244509,0.626472077654709,0.744258257137526,0,0,1,0,0,0.312705968509703,1,0,0.525043177892919,0,1
1,1,1,0.519780888618381,0,0,0,0.690008079719903,0,1,1,0,1,0.396964008814168,0.356498114653692,0.989349112426036,1,1,1,0,1,0,0.0919621567571725,1,1,0,0,1
1,1,1,0,0,0,0.119102861562258,0,0,0,1,1,0,0.701210272294577,0.467408487988469,0,1,0,0,0.298705841203218,0,0.86125918455554,0.177746326437164,1,0,0,0,1
1,1,1,0,0,1,0,0,0.192351006802108,0,1,1,0.801951814577615,0.800067916462751,0.705161738500106,1,1,1,1,0,1,0,0,0,0.406860409718914,0.161406161406161,1,1
1,1,0,0,0,1,0.41283960166296,0,0.358629791829144,1,1,0,0.533340325417976,0.958067223179188,1,1,0,0,0,0,0.143131157004786,0.462705436156764,0.148599269183922,1,1,0.298705841203218,1,1
1,1,0,0,0,0,1,1,1,1,1,0.666500959191348,0,0.999540461997502,1,0,1,1,0,1,0.519780888618381,0,0.0126881305064851,0.934968250492665,0,1,1,1
1,1,0,1,0,0,0,0.346205651963541,0.271238221993678,0,0.604552038208749,0.664408951535399,0.700478866240781,0.466508591980818,0,1,0,0,0.0665617059749654,1,0,0,1,1,0,1,1,1
1,1,1,1,0,1,0.163440860215054,1,1,1,0,0.681989755466744,0.00589694411239106,1,0,0.401051939513478,0.260210637875075,0,0,0.0314213179292837,0.721513996582994,0,0,1,0.82512077294686,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
