"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.955537996974207,1,1,1,1,1,1,1,1,1
1,1,1,0.968075703953996,0.971291706418835,0.884867061599692,0.994393844755495,0.961244665334126,0.935806860671927,0.955734042601893,0.949590100400325,1,1,1
1,1,1,1,1,1,1,1,1,0.992262578679316,0.998352235875681,1,1,1
1,1,1,1,1,1,1,1,1,0.929161747343565,1,1,1,1
1,1,1,1,1,1,1,1,0.984546242834187,0.935307496677931,1,1,1,1
1,1,1,1,1,1,1,1,0.938925456267747,1,1,1,1,1
1,1,1,1,1,1,1,0.999209675487966,0.915049075506847,1,1,1,1,1
1,1,1,1,1,1,0.951620855166119,0.962242562929062,1,1,1,1,1,1
1,1,1,1,1,1,0.999505195447798,1,1,1,1,1,1,1
1,1,1,1,1,0.982424834031952,0.972149742748515,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
