"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.974124809741248,1,1,1,1,1,1,1,1,1
1,1,1,0.885159784036188,0.966413505530194,0.809114109123763,0.952000861227015,0.912048228567107,0.937863292005355,0.922841567501081,0.973644068652706,1,1,1
1,1,1,1,1,1,1,1,1,0.976470903871435,0.995618285127827,1,1,1
1,1,1,1,1,1,1,1,1,0.974358974358974,1,1,1,1
1,1,1,1,1,1,1,1,0.953233913201681,0.911992904765625,1,1,1,1
1,1,1,1,1,1,1,1,0.923543159291475,1,1,1,1,1
1,1,1,1,1,1,1,0.931446203689429,0.863027677697482,1,1,1,1,1
1,1,1,1,1,1,0.936264690208876,0.96574014221073,1,1,1,1,1,1
1,1,1,1,1,1,0.999505195447798,1,1,1,1,1,1,1
1,1,1,1,1,0.986581683162144,0.966902523161585,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
