"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.969470179121146,1,1,1,1,1,1,1,1,1
1,1,1,0.988119691259554,0.988605248703459,0.98948268641675,0.995804852138442,0.998860405324434,0.99156593654391,0.995164316865209,0.998914512215315,1,1,1
1,1,1,1,1,1,1,1,1,0.993533197491083,0.983528106673576,1,1,1
1,1,1,1,1,1,1,1,1,0.994786235662148,1,1,1,1
1,1,1,1,1,1,1,1,0.997568647546569,0.979105250206614,1,1,1,1
1,1,1,1,1,1,1,1,0.993675528651521,1,1,1,1,1
1,1,1,1,1,1,1,0.992944529262087,0.97620253164557,1,1,1,1,1
1,1,1,1,1,1,0.957174324838892,0.99739989599584,1,1,1,1,1,1
1,1,1,1,1,1,0.98948268641675,1,1,1,1,1,1,1
1,1,1,1,1,0.989497080277222,0.999505195447798,1,1,1,1,1,1,1
1,1,1,1,1,0.993812462703286,1,1,1,1,1,1,1,1
