"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.917536362656134,1,1,1,1,1,1,1,1,1
1,1,1,0.977438170506233,0.988426194570756,0.974853459869573,0.982627839927303,0.991229285447861,0.9842240177696,0.972904105928904,0.986055933394627,1,1,1
1,1,1,1,1,1,1,1,1,0.994683473556401,0.978361879902032,1,1,1
1,1,1,1,1,1,1,1,1,0.97714907508161,1,1,1,1
1,1,1,1,1,1,1,1,0.991171590991408,0.936441342119763,1,1,1,1
1,1,1,1,1,1,1,1,0.987512843436837,1,1,1,1,1
1,1,1,1,1,1,1,0.982388308166397,0.956907521408674,1,1,1,1,1
1,1,1,1,1,1,0.964578970544576,0.996262680192205,1,1,1,1,1,1
1,1,1,1,1,1,0.986470978203895,1,1,1,1,1,1,1
1,1,1,1,1,0.973539191721084,0.999505195447798,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
