"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,0,1,1,1,1
1,1,1,0,0.959669831011786,0.729903481066584,0.802330957994878,0.754104328748675,0,0.919178840043522,0.965572544532243,1,1,1
1,1,1,0,0,1,1,1,1,0.921179453517466,0.993307364109,1,1,1
1,1,1,0,0,0,0,1,0,0.988814317673378,0,1,1,1
1,1,1,1,1,1,1,1,0.966186714778587,0.845077082026826,1,1,1,1
1,1,1,1,1,1,1,0,0.915096993351797,1,1,1,1,1
1,1,1,1,1,1,1,0.857627118644068,0.90981632579706,1,1,1,1,1
1,1,1,1,1,1,0.852377377835552,0.973893303064699,1,1,1,1,1,1
1,1,1,1,1,1,0.847422024509829,0,1,1,1,1,1,1
1,1,1,1,1,0.830649514671882,0.848157037382794,0,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
