"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,0,0,1,1,1,1
1,1,1,0,0,0.75530814162978,0.956820859149982,0.930091809113196,0.905799082879447,0.921256581127352,0,1,1,1
1,1,1,1,1,0,0,1,0,0.965928393051068,0,1,1,1
1,1,1,1,0,0,0,0,0,0.867557715674362,1,1,1,1
1,1,1,1,1,0,0,0,0.863370529508251,0.946975187742064,1,1,1,1
1,1,1,1,1,0,0,0,0.880109846858664,1,1,1,1,1
1,1,1,1,1,1,0,0.916611434513455,0.97700642330685,1,1,1,1,1
1,1,1,1,1,0,0.761587722694356,0.87030303030303,1,1,1,1,1,1
1,1,1,1,1,0,0.856224259365353,0,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
