"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,0,0,1,1,1,1
1,1,1,0,0,0.778959694036603,0.957870965229919,0.906671765264211,0.903798553826654,0.918371004006559,0,1,1,1
1,1,1,1,1,0,0,1,0,0.969684616906356,0,1,1,1
1,1,1,1,0,0,0,0,0,0.853365384615385,1,1,1,1
1,1,1,1,0,0,0,0,0.860202931228861,0.971957764055784,1,1,1,1
1,1,1,1,1,0,0,0,0.894892102312942,1,1,1,1,1
1,1,1,1,1,1,0,0.915159960187687,0.943806705379831,1,1,1,1,1
1,1,1,1,1,1,0.818835670375768,0.879624192601292,1,1,1,1,1,1
1,1,1,1,1,0,0.822701430660787,0,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
