"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.942222868338713,1,1,1,1,1,1,1,1,1
1,1,1,0.995619206350842,0.997374805244698,0.865646689363939,0.999505195447798,0.956581027791492,0.948288988204319,0.958393778144697,0.996124012529022,1,1,1
1,1,1,1,1,1,1,1,1,0.981677176242719,0.995907354129473,1,1,1
1,1,1,1,1,1,1,1,1,0.961803381340013,0,1,1,1
1,1,1,1,1,1,1,1,0.940363433094325,0.919620820399374,1,1,1,1
1,1,1,1,1,1,1,1,0.961490160389897,1,1,1,1,1
1,1,1,1,1,1,1,0.947741095878031,0.860035148680923,1,1,1,1,1
1,1,1,1,1,1,0.890634501591182,0.958542713567839,1,1,1,1,1,1
1,1,1,1,1,1,0.994426826653952,1,1,1,1,1,1,1
1,1,1,1,1,0.988783989068087,0.996862837655293,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1
