Accuracy,Epoch
0.9516817927360535,1
0.9641818404197693,2
0.9641363620758057,3
0.9703181982040405,4
0.9716363549232483,5
0.9699090719223022,6
0.9714999794960022,7
0.9693182110786438,8
0.9692727327346802,9
0.970727264881134,10
0.9699090719223022,11
0.9733636379241943,12
0.9725454449653625,13
0.9701363444328308,14
0.9728181958198547,15
0.9694091081619263,16
0.9712272882461548,17
0.9738636612892151,18
0.9727727174758911,19
0.968500018119812,20
0.972318172454834,21
0.9750000238418579,22
0.9743182063102722,23
0.9693636298179626,24
0.9729090929031372,25
0.9732727408409119,26
0.9694091081619263,27
0.9755908846855164,28
0.970090925693512,29
0.9710000157356262,30
0.9706818461418152,31
0.9739090800285339,32
0.9717272520065308,33
0.9729999899864197,34
0.9722272753715515,35
0.9735000133514404,36
0.9750000238418579,37
0.9735000133514404,38
0.9733636379241943,39
0.9731363654136658,40
0.9725454449653625,41
0.972000002861023,42
0.9710454344749451,43
0.97404545545578,44
0.9749090671539307,45
0.9738181829452515,46
0.9705454707145691,47
0.9742727279663086,48
0.9720454812049866,49
0.9759091138839722,50
