,pred_prob,is_nine
0,6.26882e-05,False
1,1.4835389e-18,False
2,9.2814537e-07,False
3,7.498053e-10,False
4,5.076925e-06,False
5,1.7130026e-09,False
6,1.4532326e-06,False
7,6.693595e-09,False
8,7.659224e-09,False
9,6.7315137e-13,False
10,8.774538e-11,False
11,2.992602e-05,False
12,6.214494e-09,False
13,1.5256994e-07,False
14,3.3901706e-09,False
15,1.7702302e-08,False
16,6.281338e-11,False
17,1.0811673e-11,False
18,6.1629285e-11,False
19,2.718631e-05,False
20,3.7080117e-14,False
21,6.592665e-06,False
22,1.8079432e-11,False
23,2.1635924e-12,False
24,1.150591e-06,False
25,3.0036617e-08,False
26,7.55473e-05,False
27,9.001567e-11,False
28,3.7756426e-08,False
29,4.4017345e-10,False
30,8.935989e-14,False
31,1.3026883e-09,False
32,4.827607e-05,False
33,1.07080754e-10,False
34,5.5547202e-06,False
35,0.0015827564,False
36,3.6540789e-07,False
37,6.905597e-09,False
38,2.0029971e-14,False
39,5.243517e-09,False
40,3.8557985e-07,False
41,2.2173415e-07,False
42,2.4074958e-20,False
43,1.8039089e-12,False
44,3.7230159e-06,False
45,1.2787079e-11,False
46,4.6607903e-14,False
47,1.9883905e-07,False
48,3.9322316e-07,False
49,3.9126516e-16,False
50,2.860172e-05,False
51,9.305817e-07,False
52,2.5776976e-06,False
53,5.960003e-06,False
54,0.0022647684,False
55,0.0019269872,False
56,9.818521e-05,False
57,0.10420966,False
58,1.6599732e-05,False
59,8.330302e-05,False
60,0.010475242,False
61,0.016838532,False
62,1.361812e-06,False
63,0.2716734,True
64,4.5259708e-07,False
65,0.06097392,False
66,0.9570329,True
67,0.0022646906,False
68,0.34125373,False
69,1.4720141e-05,False
70,1.6602045e-05,False
71,1.2454517e-06,False
72,2.0157795e-07,False
73,0.99535745,True
74,1.6892523e-07,False
75,0.0006375003,False
76,0.5607604,False
77,1.1087435e-06,False
78,3.51482e-08,False
79,5.3037944e-05,False
80,0.049409017,False
81,1.8699177e-05,False
82,9.598463e-06,False
83,0.0018030765,False
84,0.05418269,False
85,1.7681413e-07,False
86,0.00058358046,False
87,0.000121109784,False
88,1.0208322e-08,False
89,0.005070557,False
90,0.0001365484,False
91,1.9331343e-05,False
92,0.9974039,True
93,2.074704e-11,False
94,4.5096604e-06,False
95,0.0012632663,False
96,0.00076088915,False
97,4.959014e-05,False
98,0.004973367,False
99,0.033426926,False
100,2.7909408e-07,False
101,9.000538e-08,False
102,0.9977182,True
103,0.48366645,True
104,4.3271342e-05,False
105,3.6796437e-06,False
106,0.41195288,False
107,4.3141437e-05,False
108,0.00032689972,False
109,0.0044335937,False
110,0.5307715,True
111,1.8020904e-07,False
112,0.36518288,True
113,0.00010076802,False
114,2.1648031e-05,False
115,7.072636e-09,False
116,0.2058148,False
117,2.036979e-05,False
118,0.013886797,False
119,0.3503945,False
120,0.0020392092,False
121,8.480729e-06,False
122,3.6261197e-06,False
123,0.81561553,True
124,0.29408085,True
125,0.003622025,False
126,0.016579427,False
127,0.52078295,False
128,6.9971764e-05,False
129,0.0008024946,False
130,0.07278647,False
131,1.6438823e-06,False
132,6.922305e-09,False
133,0.11623132,True
134,9.0622206e-07,False
135,0.0011069545,False
136,4.7012495e-06,False
137,7.516096e-05,False
138,0.00016972054,False
139,4.0328057e-08,False
140,0.0021353245,False
141,0.032377344,False
142,0.049246695,False
143,2.69365e-06,False
144,0.16743128,False
145,0.00024003726,False
146,2.0245625e-07,False
147,0.00049116905,False
148,0.16675387,False
149,0.73790896,False
150,0.992736,False
151,0.0012249505,False
152,0.5595524,False
153,2.665073e-09,False
154,0.007822893,False
155,5.6383185e-05,False
156,0.8287236,True
157,0.4370766,False
158,1.6234779e-07,False
159,0.103436135,False
160,0.93785,True
161,5.0388013e-07,False
162,0.0033288447,False
163,0.0030466607,False
164,0.007285412,False
165,9.23951e-06,False
166,0.9923745,True
167,0.46176654,True
168,8.402652e-08,False
169,0.7857603,True
170,1.1147821e-05,False
171,0.0012325837,False
172,5.480585e-05,False
173,0.022072416,False
174,0.15051335,False
175,0.019704133,False
176,0.00056625874,False
177,0.00016881937,False
178,0.00044163273,False
179,7.076929e-06,False
180,0.9995844,True
181,0.05420363,False
182,0.060401395,True
183,0.0154097695,False
184,4.769954e-07,False
185,0.79746395,False
186,9.298525e-09,False
187,0.9811343,True
188,1.5247002e-05,False
189,3.4500029e-06,False
190,4.3904606e-07,False
191,6.3209714e-05,False
192,0.032534942,False
193,1.4256005e-05,False
194,0.9573474,True
195,0.84966797,False
196,7.0345243e-07,False
197,0.00029243526,False
198,0.001011657,False
199,0.0023669682,False
200,1.6348618e-05,False
201,0.029808203,False
202,0.9137269,True
203,7.90925e-06,False
204,0.0023388644,False
205,0.13944723,True
206,0.91783047,False
