Loss,Epoch
0.1699810028076172,1
0.12268847972154617,2
0.11846568435430527,3
0.10047949105501175,4
0.09305908530950546,5
0.10228437185287476,6
0.09934885799884796,7
0.10744118690490723,8
0.10450628399848938,9
0.11372813582420349,10
0.12146388739347458,11
0.10925240069627762,12
0.11530842632055283,13
0.1323535442352295,14
0.11697407811880112,15
0.14503222703933716,16
0.14167383313179016,17
0.13286001980304718,18
0.13275931775569916,19
0.16249987483024597,20
0.1516607254743576,21
0.13800732791423798,22
0.14318938553333282,23
0.17789645493030548,24
0.16397002339363098,25
0.16278673708438873,26
0.18227221071720123,27
0.15277689695358276,28
0.18380500376224518,29
0.19491717219352722,30
0.19244875013828278,31
0.16805899143218994,32
0.178556427359581,33
0.18168693780899048,34
0.18730229139328003,35
0.19438536465168,36
0.17961587011814117,37
0.18977150321006775,38
0.19354450702667236,39
0.20624849200248718,40
0.20778702199459076,41
0.21360471844673157,42
0.22417928278446198,43
0.19998286664485931,44
0.1931839883327484,45
0.21529290080070496,46
0.23951318860054016,47
0.20849359035491943,48
0.2375946193933487,49
0.21269571781158447,50
