,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
0,-291.2765077154235,337.83175014055917,168.63020976417195,-58.454972733071365,-688.4111028503534,449.9756135744831,120.18210952449523,831.3836540255776,56.166198083467165,-170.78016259190983,-281.96512425648945,-316.2866739584472,-233.97890951518468,-203.07946465164352,-167.54087849152017,88.16042238407348,-357.9732766777508,-402.8807900539018,-212.53466666754014,20.467928821249398
1,-104.94168051689454,-62.72357285501983,1179.9247878501,524.9758571562843,363.63710469482265,-244.23444582630574,497.70566610800824,-335.07329401228077,-709.5576483236358,-44.612975941561686,-174.17204186534778,323.2428148093822,-349.9034820708533,366.2514609179292,-108.61075806802192,-140.84923302897684,-161.30797222598918,212.74716327628775,592.4191305240798,-38.824474847360214
2,-680.3307063919962,-153.26497174794935,1040.6951238080756,-284.62228513183913,110.40241797080353,50.71001958475866,-57.02191288281383,-315.6545626716128,179.11770449403326,115.74345404643812,126.42151040487789,280.6411313320847,-149.36283413591997,-444.93800050606455,-95.20507056551895,-71.53623933760268,-98.12788219003174,-154.39639927416127,216.40187463280677,-19.3497517348546
3,521.9583272873913,909.6777979869537,42.18584703399154,815.659944726808,-355.0468698584796,-365.04104163306994,618.0366850321861,-415.38359363014376,78.11686723877459,-671.2242881344959,27.61498549814353,-19.410952853892272,-77.6335033050916,120.37183613066955,-256.784639400025,2.2293494830671254,-209.63186696067595,-399.2640224720405,201.9247358733607,-23.982779374038856
4,1059.1100131623773,312.9732725871357,251.5138381766797,-714.844105006775,-406.4031619257902,-445.9165547792849,-140.29399153996093,430.2141605327697,0.8570579990194027,62.890570911135384,-108.81143502976813,286.72365353922237,-43.518223309087624,-140.54610171223547,423.35848985217314,-444.14043897310364,-238.87761752715312,-172.0628326895464,208.34835020534598,154.80583416655443
5,-789.6881098643132,-25.536004842656908,854.4722668107282,-176.5425307272815,225.08130611691502,165.56851500560964,-133.99455348215176,-480.45412420081806,161.22888192140292,92.02438415623614,-36.25909862947677,276.32300285815444,-213.11431220700385,-537.2011192474956,-91.58655046400868,-31.449274036377727,-14.61201577112644,-216.53228954870082,233.38832031326365,8.799241695462776
6,11.742111494537639,-191.33357231831178,125.42844538987957,129.28509572307172,-466.9337304058336,793.3943111558804,-238.08953929294674,734.239784958926,-138.46740100243878,103.96969882682076,-41.52189774208514,637.952554031147,81.00492824590984,368.0443740736851,238.77133687788708,-291.5321331055292,394.356350805642,130.06128233988085,-126.75565779301493,49.9039521432439
7,496.0193517679775,524.876518329962,193.9543427442433,-379.1045208980117,-505.75155295191723,-322.0495413819716,279.40336559167883,-595.5500312621588,-143.5234029730348,594.535849978006,-146.54006154842878,107.3105090668579,-699.2673910052148,-184.73412564831457,38.89800918873357,-21.104224671339995,699.7076362786455,121.89601147319509,385.26482700345434,-236.28083391551795
8,813.5824402525841,770.0259355629706,1052.31129861572,757.923818618354,-740.1564004974066,-280.84285166680485,175.36094569898952,-324.3998244443515,-218.00217715391878,-86.7833882392761,723.4572397622094,930.1202766209774,-40.33559071562469,-214.01834996571304,-114.03874209817117,-347.59050419145404,242.2646338863542,-174.12719697678068,-423.4699439901284,147.75701072235054
9,575.0979643914552,365.7415137836884,601.5046858524844,174.07167502231903,-71.45854891355124,382.6662938397394,206.95933594812035,-262.73950162042706,-33.93591847308649,-111.44964170490722,323.034688002091,1233.8763876192097,37.95781273497066,-148.40580911016457,154.61147093456233,180.84316102561917,-123.63334471163077,-44.14456182134796,560.197375489265,96.22659694462347
10,789.341156726964,813.9019951570298,352.8639913795794,439.8409420034398,-455.7953148808107,-196.10952284414856,196.208442299813,-511.91122280417534,-129.697728609937,-788.7306387723113,566.8968974214333,76.32284909828465,597.3847273497547,-27.35458124103801,-175.23648367843168,-404.68451604280216,215.6888154645166,147.1677320158293,-165.49937142930688,-31.899733293345587
11,-817.2396987459379,-382.5749062284781,636.5494276635416,146.2000628363051,-139.52074990075792,203.1798079661307,410.92126826875,-372.16539253078656,162.8947189523894,434.41622699595814,-33.867668416823086,76.55847511790431,-304.69617460424763,-206.856801709529,248.3188583045668,-222.09560796139107,-102.59205809670053,-139.9842524983106,178.43929758263602,88.4571895911738
12,214.01701735479134,-275.27481374900105,1096.1057726950507,690.2068655000153,-188.59100788765463,-31.10217129139472,-24.049991353479676,-77.23136814422188,-241.08217201484044,-537.9411760190599,391.8910544082728,388.3171002538081,64.54382119945204,250.68397339384705,27.332169436138717,-473.11754058527504,-504.4453811631723,25.120747954455233,-536.0459684334455,304.8831088204032
13,242.21905659365177,182.65853037232003,148.50155110587426,346.5986784752808,-732.6582606742834,433.48063976598,478.51168958960585,602.2571886332374,-58.31556646619985,-95.17485532030818,-432.23345090279497,-490.42340773169946,-95.45833756563091,-293.8368794530735,-380.48457351399486,172.12142727242406,-443.4553127193099,-548.7003363103496,17.42093371485761,-23.794375941716382
14,316.21128942858155,-231.7155708505603,937.2096955703539,641.3918774595152,617.0526553399092,520.5155666634979,547.4273325332701,-26.15378843524081,-31.381989802302027,-348.71631070537103,-227.03587043316668,86.59658040078469,335.16860165309,817.2428909936838,450.3309798311677,294.5516863510225,-342.11539049009775,271.3594076532236,-86.27824573439891,-369.8307563445823
15,256.4231762695728,-283.912019276267,-309.3944261817256,-436.7011374633739,-161.232331102753,-272.6672287163676,-247.27765560721133,483.9529602572442,-491.3088866012945,-59.028499026189,316.3440339502869,421.6710040757801,9.189555567154121,-45.763744928899435,-33.38010103449772,159.35646116502946,-11.206027337396236,154.92452997767305,-200.46420662390528,-60.54037352750268
16,390.2035235201499,-153.23807606813497,340.13669376894325,294.6318716974299,48.09512560379813,-284.3069673373034,169.06648120947335,-36.03269494589048,-432.57722644526734,-287.5754281131669,815.319775675241,41.99191306453849,111.62375836769866,408.11056553971827,188.4351973122778,414.0918363372191,-355.12962437439484,-151.97743739040084,617.6833727963888,-43.58845724462728
17,616.9318542941312,179.32734646252436,305.59441526480606,-371.2540827144839,-259.32154234248304,455.92823484315437,267.6798450515872,-300.730689891382,102.82820106105761,112.65051584759348,-153.39838293083412,861.4840941930851,-103.98565539548471,14.217568095698532,103.32816120934125,25.982534819322574,184.40182592163748,-348.0020108308302,350.6688777675852,-57.35109806042942
