,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
0,-291.2765120272966,337.8317116815311,168.63053160407236,-58.455162566375925,-688.4096577290269,449.9858038663705,120.16285203247388,831.3593066453826,56.15515922427998,-171.57101937754143
1,-104.94164646166526,-62.723717290298566,1179.9271302606523,524.978856694545,363.6179068804379,-244.25997196221616,497.78278075197187,-334.54544356591515,-710.7459428814464,-40.87977968547464
2,-680.3307008216595,-153.26500458489883,1040.6954469186237,-284.6219302611185,110.39996908097801,50.700262331151336,-57.02342357266202,-315.5814875665957,178.98444549533335,116.85696636799517
3,521.9583440058998,909.6776954802918,42.188595479606434,815.6632217269857,-355.06047224982075,-365.05249598213834,618.1175768749753,-415.1088715128423,77.08057431138454,-669.5694348410024
4,1059.1100156428436,312.9733884419943,251.51186239127802,-714.8460620396024,-406.40140758916584,-445.9256950890759,-140.33400296158086,430.1485711745986,1.1166357139088534,62.942446749634655
5,-789.6881049754935,-25.536043891524457,854.4726417250737,-176.5420102938101,225.0794982620171,165.5607888818303,-133.99091783201968,-480.38557058729305,161.1517848776302,93.09950620954925
6,11.742105808490548,-191.33371251506958,125.42868968437159,129.28484261450626,-466.92996524306363,793.4033264105822,-238.14101533727722,734.1979298573381,-138.1080730482444,102.98103165636829
7,496.0193619482099,524.8764170823817,193.9552753747231,-379.1033981772679,-505.7575222751215,-322.0597883831862,279.41597248716664,-595.3525071019887,-143.87249682650113,595.812016632337
8,813.5824254807869,770.026045413755,1052.3095144432734,757.9217755811354,-740.1465265865895,-280.82607892270136,175.3308435138288,-324.6352737700151,-217.35514627279903,-88.96156771579894
9,575.0979972346472,365.74124269476243,601.5074840788348,174.0757892524018,-71.47711465963673,382.6323539631257,207.0258544704918,-262.21064329749595,-35.235591474161836,-106.83171810753808
10,789.3411476109885,813.9023509751983,352.8608317729234,439.8373665208737,-455.78769490058556,-196.1029409693923,196.19660063649022,-512.214277866807,-129.30532015866476,-790.199065662885
11,-817.2396902230684,-382.5749969983174,636.5510031282217,146.20175827615822,-139.52767481921768,203.1734392268511,410.94334991182444,-372.0282926914831,162.3998226395886,435.36066885486304
12,214.01699881737727,-275.2747372838344,1096.1041980445468,690.2048842654659,-188.5790907999316,-31.083933813408642,-24.091922403667468,-77.49897686634499,-240.2416080023494,-540.6505976847368
13,242.2190577383326,182.6585328522485,148.5013596251522,346.5981184345907,-732.6600309807908,433.4762284610537,478.47600203862555,602.2720886818889,-58.54408367051662,-95.08705220403789
14,316.21129144973327,-231.71585474053722,937.21248993284,641.3943469907076,617.0495036877566,520.5269544639915,547.4453371558986,-25.967198523619928,-31.585197797742577,-348.6082981892552
15,256.4231712980548,-283.9122117973899,-309.39155338766307,-436.6980661884352,-161.2334432036701,-272.6516673335231,-247.2233711897384,484.0119968916522,-491.4631359685009,-59.75332128516264
16,390.20355206047486,-153.23846705385427,340.14132430020186,294.6372924766856,48.076350726318736,-284.32757209362745,169.15317847041842,-35.44991688535855,-433.8321078414662,-283.14859016465556
17,616.9318695746005,179.3270469444177,305.59710209751535,-371.25067090762286,-259.3320228431187,455.90781095042456,267.691946314922,-300.4599710762216,102.10882749352808,114.98021305084512
18,-397.9181154464909,204.43681301607054,317.1559912134689,255.15255025915312,-106.31755172452272,-782.2850831589392,26.130542878094094,-39.65989682207418,-304.94042917918773,427.2967582854222
19,547.5489454765057,-487.9615881573372,129.1253286748545,-651.9770360628337,-189.93518152614092,-241.93954338267423,-252.72910948026737,65.70856257015767,122.67451764862551,-129.89054680329193
20,790.0994557349064,1578.782516905674,145.8810065470073,798.5517367852223,-594.1361402660915,-406.0337629940819,643.2784534875407,-564.1412378082019,302.98054455281556,-231.98031553178922
21,613.0453762539427,-259.29884568968055,344.9616416798232,-316.3646453555118,-69.67623470974976,-180.6359741974925,2.8768453071198903,512.4800987778599,131.28766114368997,-374.4153923678022
22,717.4318942600798,211.15472178040025,-375.7021615184075,-545.588431964663,-188.1944416519867,-557.6605524991717,-170.9915203719987,326.81823080365774,-195.7005445057204,69.22697250006141
23,540.838163773041,1039.1209109470897,239.35824177960032,854.5912071487066,-159.58045586762933,-416.1386847836262,207.99761830662206,-491.8196686097554,-769.8620953016629,-805.5510256351478
24,-706.3135510121253,-358.7692806009066,682.9863687700054,30.01194848391685,-361.65974482353795,167.4267373464259,493.0924490083185,-72.30108504127938,-38.86929748989213,426.9434312326227
25,-102.43661160504325,-235.76184346122423,492.6041322616014,1058.085969153679,152.639244690029,-40.76362174972583,165.46597399295993,247.24847110238588,-20.816171193121168,331.61711844675034
26,-501.84782101434416,-667.4345202133278,582.5295401654604,-94.23504348563539,-449.49080807693736,-95.91632530410553,439.17399089483337,20.355232469719304,134.2091229187918,482.48694382712944
27,256.2820136197157,-653.682213126003,640.1328006880046,784.2518717775425,521.3447523430414,159.5385900083286,153.990459896128,160.7179150356325,-511.77041109836864,77.2066256429052
28,506.4630240458056,302.82545882769006,714.8673101797717,-502.0582021598775,-556.2823566412119,-300.7701917039579,683.9326573833404,-290.0374931359121,507.6392312203029,-728.268593957168
29,-626.2047128714986,1099.278753486969,378.3636831515612,-108.3017218650335,-241.9746584353919,-62.60304138849034,-829.4454664976978,324.0930883303755,413.525802829949,277.1513998883542
30,263.50402611670813,645.1927263060035,1221.841492742691,419.5354603518872,-762.7319606031504,-298.02148973945935,-299.2503740321547,248.22325840393538,144.28617063569482,413.3689610823384
31,67.0273073733901,69.78362457039857,76.08749146251729,65.41409101525234,-954.1186299770806,571.3611623785913,-150.67103924014447,386.5738467614966,-176.73141708483203,58.775976649627104
32,-791.4905948798605,-368.57930438980907,611.1146707528891,-3.881446778120865,-374.7558289226387,337.06228087877344,521.5410408891543,-256.4897483974839,18.654806099013857,399.42321005793195
33,-21.303803808876005,-10.328601340852494,1185.6432032012112,609.4087316741397,-149.82394301932362,-250.58825695884207,86.06992092624994,-387.4733276867356,-203.6515066364196,216.50805850272064
34,-913.1987403174073,-161.73566393544837,605.0787342613042,175.62185960588263,57.5087864458924,240.80836189124486,396.3657382657837,-523.9063030007818,5.744022931413868,398.825527372361
35,-614.3697214878734,-267.18921639022,1024.7220032480188,-317.48281727243756,-335.14294880071543,212.7465463884392,146.3416050820542,-73.65184996650564,40.67261465617002,160.43719419604676
36,-224.57955529258908,-77.03613095566001,71.71742957079277,-165.29194314472215,-487.95900284149695,449.95418192635674,-203.00049957178894,48.53494515032358,390.628540535082,-225.71601892434947
37,260.9243880900756,-225.6674021232428,-549.594743545982,-396.26666881807273,-172.8991462235119,458.289854109332,-339.7261884744809,66.148552114544,-373.9071181442386,368.59967358290436
38,-132.5978689057578,-100.68648685442913,954.4361412606336,-474.5944311961635,6.500847996968196,-295.850143902091,300.8417499727849,-406.37172983110275,-232.39716360984113,41.14719287930638
39,-480.2995673352786,-218.40960523636124,786.6335758329777,507.3230691980857,-157.31058010878402,-145.31315725452,212.9725008436932,414.6683971700203,-102.83167690323594,419.0809305104678
