"epoch","alpha","beta"
1,0.21624776316803,0.21624776316803
2,0.310728426222493,0.310728426222493
3,0.236194937999079,0.236194937999079
4,0.31225763546388,0.31225763546388
5,0.246968295950047,0.246968295950047
6,0.270398196988968,0.270398196988968
7,0.304985726890814,0.304985726890814
8,0.276891259272225,0.276891259272225
9,0.345057441698071,0.345057441698071
10,0.343225083334762,0.343225083334762
11,0.366215823109731,0.366215823109731
12,0.338636428781014,0.338636428781014
13,0.359312160100667,0.359312160100667
14,0.321330861915146,0.321330861915146
15,0.348077810045368,0.348077810045368
16,0.26208063146225,0.26208063146225
17,0.288641223483462,0.288641223483462
18,0.323968507239487,0.323968507239487
19,0.36501877726681,0.36501877726681
20,0.346409432120312,0.346409432120312
21,0.34629287708536,0.34629287708536
22,0.277490912530078,0.277490912530078
23,0.348883741483994,0.348883741483994
24,0.329376093172354,0.329376093172354
25,0.301532646442589,0.301532646442589
26,0.340802370739213,0.340802370739213
27,0.399273711502003,0.399273711502003
28,0.441181520437468,0.441181520437468
29,0.261856830803439,0.261856830803439
30,0.318528171195081,0.318528171195081
31,0.340563756754606,0.340563756754606
32,0.381360268520883,0.381360268520883
33,0.409389419291112,0.409389419291112
34,0.282311967212168,0.282311967212168
35,0.399004993806028,0.399004993806028
36,0.329635082795159,0.329635082795159
37,0.390596054499876,0.390596054499876
38,0.405218430477606,0.405218430477606
39,0.348732729501522,0.348732729501522
40,0.363214732838216,0.363214732838216
41,0.343738555500254,0.343738555500254
42,0.382643242712231,0.382643242712231
43,0.410710118674366,0.410710118674366
44,0.370747766892484,0.370747766892484
45,0.309812849789167,0.309812849789167
46,0.331658198200556,0.331658198200556
47,0.224885924048608,0.224885924048608
48,0.356513468303335,0.356513468303335
49,0.324433470602884,0.324433470602884
50,0.444686768383461,0.444686768383461
