"epoch","alpha","beta"
1,0.332943000035824,0.332943000035824
2,0.376711704246036,0.376711704246036
3,0.224972260341005,0.224972260341005
4,0.259352884954198,0.259352884954198
5,0.38842393567116,0.38842393567116
6,0.299743047998575,0.299743047998575
7,0.360631033402787,0.360631033402787
8,0.402866427478726,0.402866427478726
9,0.380370745578157,0.380370745578157
10,0.36278160928312,0.36278160928312
11,0.399166983964791,0.399166983964791
12,0.395314448047391,0.395314448047391
13,0.337462531744226,0.337462531744226
14,0.367279188296738,0.367279188296738
15,0.344550448754679,0.344550448754679
16,0.370138750890285,0.370138750890285
17,0.433347625224131,0.433347625224131
18,0.295904733730502,0.295904733730502
19,0.4313395656322,0.4313395656322
20,0.343600698012799,0.343600698012799
21,0.362673095148754,0.362673095148754
22,0.404362067636154,0.404362067636154
23,0.395353377231601,0.395353377231601
24,0.428685292961111,0.428685292961111
25,0.39782501426353,0.39782501426353
26,0.319548287354313,0.319548287354313
27,0.35058781064499,0.35058781064499
28,0.355420708527411,0.355420708527411
29,0.406231298270965,0.406231298270965
30,0.371129097595305,0.371129097595305
31,0.326460283837365,0.326460283837365
32,0.396918247080789,0.396918247080789
33,0.366097709691846,0.366097709691846
34,0.365645527850457,0.365645527850457
35,0.424671988960835,0.424671988960835
36,0.350084616654093,0.350084616654093
37,0.312523465884483,0.312523465884483
38,0.434871030440151,0.434871030440151
39,0.336696673966568,0.336696673966568
40,0.366580933950883,0.366580933950883
41,0.387105268382931,0.387105268382931
42,0.416276427153789,0.416276427153789
43,0.448216745784492,0.448216745784492
44,0.405448098484155,0.405448098484155
45,0.368845144241528,0.368845144241528
46,0.42912069571353,0.42912069571353
47,0.302823112261246,0.302823112261246
48,0.382292617364533,0.382292617364533
49,0.334621944493647,0.334621944493647
50,0.3441800293899,0.3441800293899
